Force (N),Position (mm),Time (min),Engineering Stress,Engineering Strain,True Strain,True Stress,,,
19432.4,6.20585,1.38,61.85525032,0.413723333,0.346226886,87.44621067,,,
19456.5,6.21288,1.38,61.93196301,0.414192,0.346558343,87.58368663,,,
19480.7,6.22069,1.38,62.008994,0.414712667,0.346926448,87.72490926,,,
19504.2,6.2285,1.38,62.08379682,0.415233333,0.347294417,87.86305872,,,
19528.9,6.23535,1.38,62.16241936,0.41569,0.347617045,88.00271547,,,
19552.8,6.24376,1.38,62.23849543,0.416250667,0.348013004,88.14531064,,,
19578.1,6.25078,1.39,62.31902783,0.416718667,0.348343399,88.28853001,,,
19602.4,6.25799,1.39,62.39637713,0.417199333,0.348682624,88.42810407,,,
19626.3,6.2658,1.39,62.47245319,0.41772,0.349049947,88.56844634,,,
19650.9,6.27351,1.39,62.55075742,0.418234,0.349412436,88.7116109,,,
19675.7,6.28032,1.39,62.62969828,0.418688,0.349732501,88.85200139,,,
19700.3,6.28808,1.39,62.70800251,0.419205333,0.350097091,88.9955316,,,
19724.9,6.29583,1.4,62.78630674,0.419722,0.350461078,89.13910098,,,
19749.1,6.30292,1.4,62.86333773,0.420194667,0.350793951,89.27817698,,,
19774.7,6.31097,1.4,62.94482506,0.420731333,0.351171763,89.42768524,,,
19798.9,6.31812,1.4,63.02185606,0.421208,0.351507214,89.567166,,,
19822.4,6.32593,1.4,63.09665888,0.421728667,0.351873502,89.7063287,,,
19848.3,6.33316,1.4,63.17910114,0.422210667,0.352212469,89.85399155,,,
19873,6.34042,1.41,63.25772368,0.422694667,0.352552726,89.99642611,,,
19897.6,6.34817,1.41,63.33602791,0.423211333,0.352915821,90.14055273,,,
19923.7,6.35587,1.41,63.41910679,0.423724667,0.353276442,90.29134668,,,
19947.3,6.36337,1.41,63.49422793,0.424224667,0.353627572,90.4300456,,,
19972.2,6.37036,1.41,63.57348709,0.424690667,0.353954714,90.5725537,,,
19998.4,6.37812,1.41,63.65688428,0.425208,0.354317768,90.72430073,,,
